BtcTrade.im,BCH/BTC,"$2,663,583",LTC/BTC,"$1,863,125",ETC/BTC,"$1,725,311",ETH/BTC,"$1,613,128",SBTC/BTC,"$1,083,757",DOGE/BTC,"$806,576",EOS/BTC,"$370,294",LBTC/BTC,"$216,973",UBTC/BTC,"$209,469",AIDOC/BTC,"$61,132"
BiteBTC,BTC/USD,"$4,314,914",ETH/USD,"$2,941,813",BCH/USD,"$1,395,705",LTC/USD,"$948,533",BENZ/ETH,"$127,160",THR/ETH,"$76,809",ZEC/USD,"$21,238",DASH/USD,"$19,625",ZEN/USD,"$16,697",AOG/BTC,"$4,490"
Coinroom,BTC/GBP,"$2,161,197",BTC/EUR,"$2,003,992",BTC/PLN,"$1,974,565",BTC/USD,"$1,765,437",BTC/TRY,"$118,878",ZEC/USD,"$118,183",ZEC/EUR,"$104,128",ZEC/GBP,"$101,956",DASH/USD,"$64,596",DASH/GBP,"$62,358"
HADAX,MAN/BTC,"$1,039,339",MAN/ETH,"$710,204",CNN/BTC,"$446,227",PNT/ETH,"$318,303",GSC/BTC,"$296,304",GSC/ETH,"$285,323",UC/BTC,"$237,363",GVE/BTC,"$225,751",CNN/ETH,"$223,815",GVE/ETH,"$214,968"
Coinhub,BTC/USD,"$5,711,782",BTC/SGD,"$2,043,621",ETH/USD,"$415,203",BCH/USD,"$210,661",BCH/BTC,"$200,075",ETH/BTC,"$177,041",ETH/SGD,"$140,188",ETC/BTC,"$13,525",XRP/BTC,"$9,707",XRP/ETH,"$8,996"
Korbit,BTC/KRW,"$3,762,834",XRP/KRW,"$2,859,207",ETH/KRW,"$1,134,061",BCH/KRW,"$519,316",ZIL/KRW,"$179,032",ETC/KRW,"$97,410",LTC/KRW,"$24,518",BTG/KRW,"$4,414"
Coinsquare,BTC/CAD,"$6,329,063",ETH/BTC,"$1,080,336",LTC/BTC,"$755,064",XRP/BTC,"$87,546",DOGE/BTC,"$14,988",BCH/BTC,"$6,747",DASH/BTC,"$2,468"
Bitsane,BTC/EUR,"$1,981,142",XRP/BTC,"$1,541,418",ETH/BTC,"$852,899",XRP/LTC,"$704,713",LTC/EUR,"$551,565",XRP/EUR,"$505,332",XRP/ETH,"$486,962",BCH/BTC,"$289,710",LTC/BTC,"$264,878",ETH/EUR,"$253,432"
Instant Bitex,ETH/BTC,"$1,314,208",BCH/BTC,"$863,913",XMR/BTC,"$751,146",XRP/BTC,"$689,078",LTC/BTC,"$624,553",DASH/BTC,"$615,670",ZEC/BTC,"$530,003",BTG/BTC,"$517,377",BTC/USDT,"$493,366",ETC/BTC,"$468,019"
MBAex,XRP/USDT,"$6,294,872",BTC/USDT,"$800,515",ETH/USDT,"$533,455",LTC/USDT,"$114,409",BCH/USDT,"$24,851",XRP/BTC,"$10,912",ETH/BTC,"$5,095",LTC/BTC,"$670",BCH/BTC,"$?"
